
2022-12-02 15:01:01.063799 ||Processed frame no: 1 || Current FPS: 0.67 || Objects tracked: 2 || car: 2 
2022-12-02 15:01:05.873613 ||Processed frame no: 55 || Current FPS: 16.42 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:05.951737 ||Processed frame no: 56 || Current FPS: 16.02 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:06.030149 ||Processed frame no: 57 || Current FPS: 16.29 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:06.108274 ||Processed frame no: 58 || Current FPS: 16.01 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:06.202025 ||Processed frame no: 59 || Current FPS: 12.81 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:06.295774 ||Processed frame no: 60 || Current FPS: 12.8 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:06.358290 ||Processed frame no: 61 || Current FPS: 21.36 || Objects tracked: 0 || 
2022-12-02 15:01:06.436400 ||Processed frame no: 62 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:06.513938 ||Processed frame no: 63 || Current FPS: 17.53 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:06.576433 ||Processed frame no: 64 || Current FPS: 16.0 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:06.654904 ||Processed frame no: 65 || Current FPS: 16.26 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:06.717567 ||Processed frame no: 66 || Current FPS: 21.26 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:06.795705 ||Processed frame no: 67 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:06.875393 ||Processed frame no: 68 || Current FPS: 15.63 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:06.951669 ||Processed frame no: 69 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.014172 ||Processed frame no: 70 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.092525 ||Processed frame no: 71 || Current FPS: 15.94 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.170651 ||Processed frame no: 72 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.253702 ||Processed frame no: 73 || Current FPS: 14.83 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.343416 ||Processed frame no: 74 || Current FPS: 12.8 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:07.406062 ||Processed frame no: 75 || Current FPS: 15.96 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:07.484962 ||Processed frame no: 76 || Current FPS: 17.19 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.564311 ||Processed frame no: 77 || Current FPS: 15.71 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.641393 ||Processed frame no: 78 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.719515 ||Processed frame no: 79 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.798104 ||Processed frame no: 80 || Current FPS: 15.9 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.860540 ||Processed frame no: 81 || Current FPS: 16.02 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:07.938666 ||Processed frame no: 82 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.032977 ||Processed frame no: 83 || Current FPS: 12.71 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.111105 ||Processed frame no: 84 || Current FPS: 16.0 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.189469 ||Processed frame no: 85 || Current FPS: 15.96 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.283031 ||Processed frame no: 86 || Current FPS: 13.76 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.346919 ||Processed frame no: 87 || Current FPS: 20.75 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.425660 ||Processed frame no: 88 || Current FPS: 15.57 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.518320 ||Processed frame no: 89 || Current FPS: 12.8 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.628283 ||Processed frame no: 90 || Current FPS: 10.75 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.737781 ||Processed frame no: 91 || Current FPS: 12.78 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.847850 ||Processed frame no: 92 || Current FPS: 11.95 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.926075 ||Processed frame no: 93 || Current FPS: 15.98 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:08.988589 ||Processed frame no: 94 || Current FPS: 21.34 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.051091 ||Processed frame no: 95 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.129216 ||Processed frame no: 96 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.207343 ||Processed frame no: 97 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.269843 ||Processed frame no: 98 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.340765 ||Processed frame no: 99 || Current FPS: 18.08 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.410219 ||Processed frame no: 100 || Current FPS: 17.4 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.488352 ||Processed frame no: 101 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.551181 ||Processed frame no: 102 || Current FPS: 15.92 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.629925 ||Processed frame no: 103 || Current FPS: 15.86 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.708063 ||Processed frame no: 104 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.770818 ||Processed frame no: 105 || Current FPS: 21.81 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.849464 ||Processed frame no: 106 || Current FPS: 17.29 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.928252 ||Processed frame no: 107 || Current FPS: 15.83 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:09.990857 ||Processed frame no: 108 || Current FPS: 21.91 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.068995 ||Processed frame no: 109 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.147386 ||Processed frame no: 110 || Current FPS: 16.27 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.209886 ||Processed frame no: 111 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.272385 ||Processed frame no: 112 || Current FPS: 21.36 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.334883 ||Processed frame no: 113 || Current FPS: 21.34 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.397373 ||Processed frame no: 114 || Current FPS: 23.45 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.459893 ||Processed frame no: 115 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.522532 ||Processed frame no: 116 || Current FPS: 21.27 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.585416 ||Processed frame no: 117 || Current FPS: 21.16 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.655963 ||Processed frame no: 118 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.734186 ||Processed frame no: 119 || Current FPS: 17.04 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.796696 ||Processed frame no: 120 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:10.875004 ||Processed frame no: 121 || Current FPS: 16.29 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:11.000530 ||Processed frame no: 122 || Current FPS: 10.49 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:11.094494 ||Processed frame no: 123 || Current FPS: 12.77 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:11.188244 ||Processed frame no: 124 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:11.266367 ||Processed frame no: 125 || Current FPS: 16.0 || Objects tracked: 3 || bus: 2 car: 1 
2022-12-02 15:01:11.360660 ||Processed frame no: 126 || Current FPS: 15.88 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:11.438800 ||Processed frame no: 127 || Current FPS: 16.02 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:11.517055 ||Processed frame no: 128 || Current FPS: 16.29 || Objects tracked: 3 || bus: 2 car: 1 
2022-12-02 15:01:11.611181 ||Processed frame no: 129 || Current FPS: 13.98 || Objects tracked: 3 || bus: 2 car: 1 
2022-12-02 15:01:11.704998 ||Processed frame no: 130 || Current FPS: 12.79 || Objects tracked: 3 || bus: 2 car: 1 
2022-12-02 15:01:11.767497 ||Processed frame no: 131 || Current FPS: 21.33 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:11.845625 ||Processed frame no: 132 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:11.908129 ||Processed frame no: 133 || Current FPS: 21.33 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:11.986250 ||Processed frame no: 134 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:12.066046 ||Processed frame no: 135 || Current FPS: 15.58 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.158935 ||Processed frame no: 136 || Current FPS: 12.8 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:12.221648 ||Processed frame no: 137 || Current FPS: 21.26 || Objects tracked: 2 || bus: 1 truck: 1 
2022-12-02 15:01:12.299786 ||Processed frame no: 138 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 truck: 1 
2022-12-02 15:01:12.362331 ||Processed frame no: 139 || Current FPS: 20.78 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.424834 ||Processed frame no: 140 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.503172 ||Processed frame no: 141 || Current FPS: 17.58 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.565797 ||Processed frame no: 142 || Current FPS: 21.28 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.628319 ||Processed frame no: 143 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.711678 ||Processed frame no: 144 || Current FPS: 14.76 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:12.784717 ||Processed frame no: 145 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:12.863059 ||Processed frame no: 146 || Current FPS: 15.94 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:12.925550 ||Processed frame no: 147 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:12.988052 ||Processed frame no: 148 || Current FPS: 21.34 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:13.066182 ||Processed frame no: 149 || Current FPS: 16.0 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:13.191245 ||Processed frame no: 150 || Current FPS: 12.8 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:13.301994 ||Processed frame no: 151 || Current FPS: 10.52 || Objects tracked: 3 || car: 1 bus: 2 
2022-12-02 15:01:13.394704 ||Processed frame no: 152 || Current FPS: 12.8 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:13.535263 ||Processed frame no: 153 || Current FPS: 9.41 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:13.629196 ||Processed frame no: 154 || Current FPS: 12.98 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:13.738521 ||Processed frame no: 155 || Current FPS: 10.67 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:13.832498 ||Processed frame no: 156 || Current FPS: 12.77 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:13.926419 ||Processed frame no: 157 || Current FPS: 12.78 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:14.020935 ||Processed frame no: 158 || Current FPS: 14.05 || Objects tracked: 4 || car: 2 bus: 2 
2022-12-02 15:01:14.114692 ||Processed frame no: 159 || Current FPS: 16.0 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:14.193142 ||Processed frame no: 160 || Current FPS: 12.75 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:14.271264 ||Processed frame no: 161 || Current FPS: 16.0 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:14.349390 ||Processed frame no: 162 || Current FPS: 16.02 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:14.427516 ||Processed frame no: 163 || Current FPS: 16.02 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:14.505640 ||Processed frame no: 164 || Current FPS: 16.0 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:14.614762 ||Processed frame no: 165 || Current FPS: 12.0 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:14.708595 ||Processed frame no: 166 || Current FPS: 12.78 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:14.792837 ||Processed frame no: 167 || Current FPS: 11.87 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:14.880449 ||Processed frame no: 168 || Current FPS: 13.6 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:14.975343 ||Processed frame no: 169 || Current FPS: 12.63 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.084736 ||Processed frame no: 170 || Current FPS: 10.67 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:15.178661 ||Processed frame no: 171 || Current FPS: 12.77 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:15.256787 ||Processed frame no: 172 || Current FPS: 16.02 || Objects tracked: 4 || car: 3 bus: 1 
2022-12-02 15:01:15.366039 ||Processed frame no: 173 || Current FPS: 11.96 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.459789 ||Processed frame no: 174 || Current FPS: 12.8 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.553701 ||Processed frame no: 175 || Current FPS: 12.77 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.687243 ||Processed frame no: 176 || Current FPS: 8.49 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.812240 ||Processed frame no: 177 || Current FPS: 9.14 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:15.921616 ||Processed frame no: 178 || Current FPS: 10.67 || Objects tracked: 5 || car: 3 bus: 2 
2022-12-02 15:01:16.015368 ||Processed frame no: 179 || Current FPS: 12.8 || Objects tracked: 6 || car: 4 bus: 2 
2022-12-02 15:01:16.140608 ||Processed frame no: 180 || Current FPS: 10.19 || Objects tracked: 6 || car: 4 bus: 2 
2022-12-02 15:01:16.250110 ||Processed frame no: 181 || Current FPS: 12.79 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.343870 ||Processed frame no: 182 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.437500 ||Processed frame no: 183 || Current FPS: 12.83 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:16.532473 ||Processed frame no: 184 || Current FPS: 12.61 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.625170 ||Processed frame no: 185 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.750858 ||Processed frame no: 186 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.844602 ||Processed frame no: 187 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:16.938529 ||Processed frame no: 188 || Current FPS: 12.78 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:17.032270 ||Processed frame no: 189 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:17.126025 ||Processed frame no: 190 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:17.235403 ||Processed frame no: 191 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:17.329144 ||Processed frame no: 192 || Current FPS: 10.67 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:17.422893 ||Processed frame no: 193 || Current FPS: 12.8 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:17.548551 ||Processed frame no: 194 || Current FPS: 10.09 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:17.658025 ||Processed frame no: 195 || Current FPS: 10.66 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:17.766546 ||Processed frame no: 196 || Current FPS: 10.77 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:17.876814 ||Processed frame no: 197 || Current FPS: 10.4 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:18.011775 ||Processed frame no: 198 || Current FPS: 7.47 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:18.132138 ||Processed frame no: 199 || Current FPS: 9.81 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:18.289545 ||Processed frame no: 200 || Current FPS: 7.53 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.414017 ||Processed frame no: 201 || Current FPS: 9.03 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.499580 ||Processed frame no: 202 || Current FPS: 13.71 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.593326 ||Processed frame no: 203 || Current FPS: 12.81 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.702702 ||Processed frame no: 204 || Current FPS: 10.67 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.817329 ||Processed frame no: 205 || Current FPS: 10.1 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:18.922666 ||Processed frame no: 206 || Current FPS: 11.49 || Objects tracked: 7 || car: 6 bus: 1 
2022-12-02 15:01:19.016644 ||Processed frame no: 207 || Current FPS: 12.77 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.120538 ||Processed frame no: 208 || Current FPS: 11.34 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.235429 ||Processed frame no: 209 || Current FPS: 10.06 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.329491 ||Processed frame no: 210 || Current FPS: 12.98 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.438875 ||Processed frame no: 211 || Current FPS: 10.67 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.533135 ||Processed frame no: 212 || Current FPS: 12.72 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:19.642641 ||Processed frame no: 213 || Current FPS: 10.66 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.736403 ||Processed frame no: 214 || Current FPS: 12.8 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:19.830153 ||Processed frame no: 215 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:19.924355 ||Processed frame no: 216 || Current FPS: 13.53 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.033914 ||Processed frame no: 217 || Current FPS: 10.65 || Objects tracked: 6 || car: 5 bus: 1 
2022-12-02 15:01:20.127654 ||Processed frame no: 218 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.221405 ||Processed frame no: 219 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.315162 ||Processed frame no: 220 || Current FPS: 12.81 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.440155 ||Processed frame no: 221 || Current FPS: 10.67 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.549709 ||Processed frame no: 222 || Current FPS: 10.65 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.683531 ||Processed frame no: 223 || Current FPS: 9.83 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.792914 ||Processed frame no: 224 || Current FPS: 10.67 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.886688 ||Processed frame no: 225 || Current FPS: 12.8 || Objects tracked: 5 || car: 4 bus: 1 
2022-12-02 15:01:20.996184 ||Processed frame no: 226 || Current FPS: 10.66 || Objects tracked: 5 || car: 4 bus: 1 
